Protein,Average RMSD,Domain,Molecular Function,Error
7ZOU,1.9,Bacteria,Chloride Pump,N/A
RmHR_model_0,1.91,Bacteria,Chloride Pump,N/A
6XL3,1.95,Bacteria,Chloride Pump,N/A
8XX8,1.97,Bacteria,Chloride Pump,N/A
AaClR_model_0,2.04,Bacteria,Chloride Pump,N/A
5B2N,2.2,Bacteria,Chloride Pump,N/A
FR_model_0,2.22,Bacteria,Chloride Pump,N/A
PoClR_model_0,2.24,Bacteria,Chloride Pump,N/A
4JR8,1.87,Archaea,Proton Pump,N/A
4PXK,1.88,Archaea,Proton Pump,N/A
HmBRII_model_0,1.89,Archaea,Proton Pump,N/A
7E4G,1.95,Archaea,Proton Pump,N/A
1UAZ,1.95,Archaea,Proton Pump,N/A
SzR1_model_0,1.95,Archaea,Proton Pump,N/A
5KKH,1.98,Archaea,Proton Pump,N/A
4FBZ,2.0,Archaea,Proton Pump,N/A
1C3W,2.05,Archaea,Proton Pump,N/A
HxAR_model_0,2.05,Archaea,Proton Pump,N/A
1VGO,2.06,Archaea,Proton Pump,N/A
6EYU,2.19,Archaea,Proton Pump,N/A
AntR_model_0,2.21,Archaea,Proton Pump,N/A
6GUX,2.43,Archaea,Proton Pump,N/A
MsSzR_model_0,2.43,Archaea,Proton Pump,N/A
MtSzR_model_0,2.44,Archaea,Proton Pump,N/A
6LM0,1.83,Bacteria,Proton Pump,N/A
6LM1,1.84,Bacteria,Proton Pump,N/A
7YTB,1.88,Bacteria,Proton Pump,N/A
PoXeR_model_0,1.88,Bacteria,Proton Pump,N/A
6NWD,1.94,Bacteria,Proton Pump,N/A
5AZD,1.96,Bacteria,Proton Pump,N/A
8H79,1.96,Bacteria,Proton Pump,N/A
6KFQ,1.97,Bacteria,Proton Pump,N/A
7W74,2.02,Bacteria,Proton Pump,N/A
NdR1_model_0,2.15,Bacteria,Proton Pump,N/A
4JQ6,2.17,Bacteria,Proton Pump,N/A
7ZMY,2.18,Bacteria,Proton Pump,N/A
3DDL,2.19,Bacteria,Proton Pump,N/A
8ANQ,2.23,Bacteria,Proton Pump,N/A
NmPR_model_0,2.23,Bacteria,Proton Pump,N/A
4HYJ,2.24,Bacteria,Proton Pump,N/A
8CQC,2.25,Bacteria,Proton Pump,N/A
KR1_model_0,2.28,Bacteria,Proton Pump,N/A
4KLY,2.53,Bacteria,Proton Pump,N/A
7AVN,2.7,Bacteria,Proton Pump,N/A
5AWZ,1.79,Eukaryota,Proton Pump,N/A
7BMH,1.8,Eukaryota,Proton Pump,N/A
3AM6,1.91,Eukaryota,Proton Pump,N/A
NR_model_0,2.08,Eukaryota,Proton Pump,N/A
6GYH,2.22,Eukaryota,Proton Pump,N/A
6JO0,2.17,Virus,Proton Pump,N/A
1JGJ,1.83,Archaea,Sensor / Regulatory,N/A
HmSRII_model_0,1.91,Archaea,Sensor / Regulatory,N/A
HsSRI_model_0,1.96,Archaea,Sensor / Regulatory,N/A
HmSRIII_model_0,2.04,Archaea,Sensor / Regulatory,N/A
HmSRI_model_0,2.12,Archaea,Sensor / Regulatory,N/A
1XIO,1.91,Bacteria,Sensor / Regulatory,N/A
S13_Bin138_Proteo_SR_model_0,2.02,Bacteria,Sensor / Regulatory,N/A
SrSRI_model_0,2.03,Bacteria,Sensor / Regulatory,N/A
AbHeR_model_0,2.56,Bacteria,Sensor / Regulatory,N/A
OcHeR_model_0,2.58,Bacteria,Sensor / Regulatory,N/A
NeoR_model_0,1.89,Eukaryota,Sensor / Regulatory,N/A
RgRGC2_model_0,1.98,Eukaryota,Sensor / Regulatory,N/A
GpRGC2_model_0,2.06,Eukaryota,Sensor / Regulatory,N/A
CaRGC_model_0,2.12,Eukaryota,Sensor / Regulatory,N/A
BeRGC_model_0,2.14,Eukaryota,Sensor / Regulatory,N/A
OtHKR_model_0,2.15,Eukaryota,Sensor / Regulatory,N/A
RgRGC1_model_0,2.19,Eukaryota,Sensor / Regulatory,N/A
Ct_RB_model_0,2.22,Eukaryota,Sensor / Regulatory,N/A
CfRhoPDE_model_0,2.4,Eukaryota,Sensor / Regulatory,N/A
7CJ3,2.44,Eukaryota,Sensor / Regulatory,N/A
HKR1_model_0,2.49,Eukaryota,Sensor / Regulatory,N/A
7PL9,2.51,Eukaryota,Sensor / Regulatory,N/A
8JH0,2.16,Bacteria,Sodium Pump,N/A
NmNaR_model_0,2.17,Bacteria,Sodium Pump,N/A
3X3C,2.18,Bacteria,Sodium Pump,N/A
NdR2_model_0,2.37,Bacteria,Sodium Pump,N/A
JsNaR_model_0,2.63,Bacteria,Sodium Pump,N/A
8QLF,2.69,Bacteria,Sodium Pump,N/A
8WEW,1.94,Archaea,Unknown,N/A
6IS6,2.44,Archaea,Unknown,N/A
TAT_model_0,2.41,Bacteria,Unknown,N/A
TATLA_model_0,2.49,Bacteria,Unknown,N/A
6SU3,2.73,Bacteria,Unknown,N/A
7AKW,2.44,Synthetic,Unknown,N/A
R2ACR_J315_refine8,1.9,Unknown,Unknown,N/A
KnChR_J444_refine5,1.92,Unknown,Unknown,N/A
bReaChES_J215_refine6,1.93,Unknown,Unknown,N/A
CoChR_J248_refine7,1.95,Unknown,Unknown,N/A
ChroME2s_J227_refine3,1.98,Unknown,Unknown,N/A
CnChR2_J230_refine9,1.98,Unknown,Unknown,N/A
TsChR_J132_refine3,2.0,Unknown,Unknown,N/A
A1ACR1_J318_refine3,2.04,Unknown,Unknown,N/A
6SQG,1.92,Virus,Unknown,N/A
